Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,274,284,0.774149,18
2,88,226,0.541197,10
3,260,282,0.458351,14
4,212,220,0.421961,39
5,64,80,0.401645,45
6,150,168,0.400054,28
7,48,280,0.396791,10
8,118,124,0.388295,64
9,42,114,0.377257,23
10,202,204,0.37388,75
11,112,126,0.36112,36
12,260,294,0.357509,12
13,82,214,0.353701,12
14,30,232,0.342053,13
15,204,238,0.335163,15
16,182,212,0.332665,16
17,26,160,0.320644,21
18,224,266,0.298469,13
19,92,176,0.279916,14
20,20,124,0.264208,33
21,26,210,0.258044,19
22,138,216,0.252308,12
23,182,190,0.246702,44
24,22,280,0.239564,12
25,240,256,0.202168,19
26,134,172,0.168592,18
27,162,226,0.158591,12
28,64,108,0.158446,27
29,16,184,0.154674,27
30,80,204,0.142464,12
31,56,140,0.09509,17
32,42,86,0.094524,35
33,104,106,0.093305,121
34,130,146,0.077179,34
35,98,146,0.060925,20
36,56,178,0.030848,17
37,124,194,0.026318,14
38,56,62,0.010195,79
39,22,88,-0.08885,41
40,170,184,-0.108596,33
41,30,60,-0.231999,53
42,88,106,-0.282186,35
43,16,60,-0.349384,62
44,32,38,-0.450029,116
45,18,32,-0.646073,98
46,22,26,-0.770735,158
